Date,All_sources_sentiment,Business_sources_sentiment,closing_Price
2025-03-14,0.1260469999999999,0.02155,83969.1015625
2025-03-15,0.134340404040404,0.17665,84343.109375
2025-03-16,0.0019663265306122,0.4083714285714285,82579.6875
2025-03-17,0.0692642857142857,0.429690909090909,84075.6875
2025-03-18,0.0763051546391752,0.32838,82718.5
2025-03-19,0.0925795918367346,0.2481625,86854.2265625
2025-03-20,0.1900141414141414,0.47925,84167.1953125
2025-03-21,0.1996350515463917,0.4542,84043.2421875
2025-03-22,0.1578323232323232,0.296,83832.484375
2025-03-23,0.1682959183673469,-0.3397,86054.375
2025-03-24,0.2149829787234042,0.0742666666666666,87498.9140625
2025-03-25,0.2907763440860215,0.3678181818181818,87471.703125
2025-03-26,0.2614765306122448,0.1930666666666666,86900.8828125
2025-03-27,0.0520112244897959,0.1317333333333333,87177.1015625
2025-03-28,-0.0005959183673469,0.2748666666666666,84353.1484375
2025-03-29,0.0362729999999999,-0.0703,82597.5859375
2025-03-30,0.0059515151515151,0.4153285714285714,82334.5234375
2025-03-31,0.00801875,0.3439533333333333,82548.9140625
2025-04-01,0.1203522222222222,0.27699,85169.171875
2025-04-02,0.1176096774193548,-0.1331,82485.7109375
2025-04-03,0.0295818181818181,-0.1457428571428571,83102.828125
2025-04-04,0.0732071428571428,0.0408,83843.8046875
2025-04-06,-0.1015946236559139,0.425275,78214.484375
2025-04-07,-0.0172228260869565,0.5047200000000001,79235.3359375
2025-04-08,0.0865010526315789,-0.2455999999999999,76271.953125
2025-04-09,0.1158510638297872,-0.2522166666666667,82573.953125
2025-04-10,0.17118085106382983,0.139255,79626.140625
